modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__esd_nfet_01v8__model.0,nmos,1.6e-07,1.7e-07,2.0345e-05,2.0355e-5
sky130_fd_pr__esd_nfet_01v8__model.1,nmos,1.6e-07,1.7e-07,4.0305e-05,4.0315e-5
sky130_fd_pr__esd_nfet_01v8__model.2,nmos,1.75e-07,1.85e-07,5.395e-06,5.405e-6
sky130_fd_pr__esd_nfet_05v0_nvt__model.0,nmos,1.995e-06,2.005e-06,9.995e-06,1.0005e-5
sky130_fd_pr__esd_nfet_05v0_nvt__model.1,nmos,3.995e-06,4.005e-06,9.995e-06,1.0005e-5
sky130_fd_pr__esd_nfet_05v0_nvt__model.2,nmos,8.95e-07,9.05e-07,9.995e-06,1.0005e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.0,nmos,5.45e-07,5.55e-07,1.7495e-05,1.7505e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.1,nmos,5.45e-07,5.55e-07,1.9495e-05,1.9505e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.2,nmos,5.45e-07,5.55e-07,2.1495e-05,2.1505e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.3,nmos,5.45e-07,5.55e-07,2.3495e-05,2.3505e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.4,nmos,5.45e-07,5.55e-07,2.6495e-05,2.6505e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.5,nmos,9.95e-07,1.005e-06,3.0245e-05,3.0255e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.6,nmos,5.45e-07,5.55e-07,3.0245e-05,3.0255e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.7,nmos,5.45e-07,5.55e-07,4.0305e-05,4.0315e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.8,nmos,9.95e-07,1.005e-06,5.0985e-05,5.0995e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.9,nmos,5.45e-07,5.55e-07,5.0985e-05,5.0995e-5
sky130_fd_pr__esd_nfet_g5v0d10v5__model.10,nmos,5.95e-07,6.05e-07,5.395e-06,5.405e-6
sky130_fd_pr__esd_pfet_g5v0d10v5__model.0,pmos,5.45e-07,5.55e-07,1.4495e-05,1.4505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.1,pmos,5.45e-07,5.55e-07,1.5495e-05,1.5505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.2,pmos,5.45e-07,5.55e-07,1.6495e-05,1.6505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.3,pmos,5.45e-07,5.55e-07,1.7495e-05,1.7505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.4,pmos,5.45e-07,5.55e-07,1.9495e-05,1.9505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.5,pmos,5.45e-07,5.55e-07,2.1495e-05,2.1505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.6,pmos,5.45e-07,5.55e-07,2.3495e-05,2.3505e-5
sky130_fd_pr__esd_pfet_g5v0d10v5__model.7,pmos,5.45e-07,5.55e-07,2.6495e-05,2.6505e-5
sky130_fd_pr__nfet_01v8__model.0,nmos,2.0e-05,0.0001,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.1,nmos,8.0e-06,2.0e-05,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.2,nmos,4.0e-06,8.0e-06,7.0e-06,0.0001
sky130_fd_pr__nfet_01v8__model.3,nmos,2.0e-06,4.0e-06,7.0e-06,0.0001
